"name","type","tier","tier_name","Private_or_public","state","Female","Parents mean","Parentsq1","Parentsq5","Parentstop1pc","Kidsmean","Kidsq5","Kidstop1pc"
"Academy Of Art University","3","10","Four-year for-profit","NA","CA","0.416753161029681","166594.9696116342","0.0935242230548864","0.3966840105850363","0.0356811993751016","39988.01720641392","0.2613375760785127","0.0140308070796785"
"Allan Hancock College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5369738313506367","76983.84073522082","0.1408915667548611","0.1782053720703662","0.004670010024426","33651.39346965846","0.1869837244131843","0.0022870153015563"
"""American Career College of Los Angeles, CA""","3","11","Two-year for-profit","NA","CA","0.8001053124424927","55879.31704135618","0.4146142957270804","0.0505254202564495","0.0031046159642857","27716.0283251465","0.0895657386631576","0.0012691267130758"
"Antelope Valley College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5403170919539339","71043.66439064141","0.1640186172483412","0.1785631630563745","0.0015970431386383","32210.87520372112","0.1943054798414137","0.0021966742643273"
"Argosy University","3","10","Four-year for-profit","NA","CA","0.92729150843792","101653.7685817502","0.0664425940939786","0.2488168509845282","0.006543762630945","31006.41827692663","0.1052463805523874","0.0003098145388855"
"Art Center College Of Design","2","8","Nonselective four-year private not-for-profit","Private","CA","0.3917941698657776","140836.1464030771","0.1490885573929098","0.4066141300662395","0.019046100407743","53629.40664619593","0.3673114673907378","0.0442239651024526"
"Azusa Pacific University","2","6","Selective private","Private","CA","0.624864543884578","172835.4880779882","0.049204979770208","0.4740449104909994","0.0311171894778854","47276.71289766873","0.3555569117284532","0.0124628156768673"
"Barstow Community College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4572121698404124","62711.74122591963","0.1892463186194892","0.1062359378266542","0.0008323277402643","34251.5747472106","0.1927134688072985","0.0028290815391851"
"Biola University","2","6","Selective private","Private","CA","0.6410079325842337","159678.2209501558","0.0693228026167501","0.4275810805934266","0.0317016491022344","44505.2000097352","0.3008320393841882","0.0153387950492039"
"Brooks Institute","3","10","Four-year for-profit","NA","CA","0.3819508519624274","161301.6020753406","0.0657564065309931","0.4294871138521836","0.0505747341658385","35938.51107164806","0.2093219724764207","0.0060951324752202"
"Butte College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4746185145604141","81294.32462104988","0.1605948394235804","0.1960923978651067","0.0054701430647367","34286.5956112876","0.1996400837007767","0.005544904365166"
"Cabrillo College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4919340474962002","103351.7814515412","0.141950253282186","0.2746697379672667","0.0112040884667569","33680.19710931152","0.1967035667082254","0.0047565312333041"
"California Baptist University","2","6","Selective private","Private","CA","0.6482877868252832","94525.19923194681","0.0764558643804871","0.2664778589046906","0.0036280494532548","40537.43385108742","0.2914543288564296","0.0086851243715433"
"California College Of The Arts","2","8","Nonselective four-year private not-for-profit","Private","CA","0.5748955225044826","160342.7457884097","0.07775087675822","0.4095091202712669","0.0372904857414752","37838.00830736186","0.2363391076400059","0.010904078536738"
"California Culinary Academy","3","11","Two-year for-profit","NA","CA","0.3078627253507639","110464.0924648268","0.1208130498023993","0.2862506403789457","0.0203602592968805","34039.54724702381","0.1776100371317297","0.0016152625495278"
"California Institute Of Technology","2","2","Other elite schools (public and private)","Private","CA","0.3326561009654632","185591.1348339161","0.0481026868688036","0.5681781260900508","0.0435955930188611","119502.5454955201","0.6676478790127677","0.1407976713646883"
"California Institute Of The Arts","2","8","Nonselective four-year private not-for-profit","Private","CA","0.473207639935224","205473.4940981658","0.0802756942624129","0.4857767880776018","0.0557723582175601","46508.11575450068","0.2527520919462109","0.0320906406725795"
"California Lutheran University","2","6","Selective private","Private","CA","0.580966644552019","169644.5575173611","0.0321323867863023","0.4819717244398262","0.032230726627426","57255.63567708333","0.4398503410409057","0.0195524154134085"
"California Maritime Academy","1","5","Selective public","Public","CA","0.1489309963324796","132454.2233922101","0.0592691159584148","0.5059892769292506","0.0074594053456668","89270.2313745471","0.7196350153045243","0.0432115762114204"
"California Polytechnic State University","1","5","Selective public","Public","CA","0.464717734235684","169835.7176028801","0.0419738553884695","0.5760278994720427","0.0312039697093197","76443.30961596733","0.5883985700766106","0.0502755100205685"
"""California State Polytechnic University, Pomona""","1","5","Selective public","Public","CA","0.4200623683199273","98379.03404831271","0.1492971938535397","0.3285019700920687","0.0072355649774544","58449.62114357159","0.4946823022975913","0.0127491064192596"
"California State University - Sacramento","1","5","Selective public","Public","CA","0.5871148427217167","107518.9903721526","0.1045287385997963","0.3588644398439974","0.0093292203034712","51314.20330742774","0.396999883984859","0.0079417304335794"
"California State University Channel Islands","1","7","Nonselective four-year public","Public","CA","0.6701724062476105","141960.9634924778","0.0506875383152858","0.4482552196289754","0.0219673896581918","45810.76147013659","0.3251172973265523","0.0074614322649397"
"""California State University, Bakersfield""","1","5","Selective public","Public","CA","0.6436654867499115","84211.55416442722","0.140649973232163","0.2676813529005641","0.003696710936478","47321.12535991247","0.3868507266953396","0.0080757740712634"
"""California State University, Chico""","1","5","Selective public","Public","CA","0.5719630339700824","150534.7387635201","0.0608565722433152","0.5066068088102947","0.0219213945035716","56332.84071623285","0.4274652561164695","0.0221312484458042"
"""California State University, Dominguez Hills""","1","5","Selective public","Public","CA","0.6972846368567103","57771.22736740676","0.2631824180433227","0.1162447348926947","0.0007313088036578","42627.00178579671","0.2875174494216578","0.004540041806223"
"""California State University, East Bay""","1","5","Selective public","Public","CA","0.6600576561318631","104528.779388457","0.098883431718763","0.3560276993727997","0.0052334914627289","55258.10369318182","0.4471951423993537","0.0129262235870884"
"""California State University, Fresno""","1","5","Selective public","Public","CA","0.6031941389217058","93996.48604629956","0.159512303007507","0.2847684754789264","0.0085306448032032","50156.25069807807","0.3586427565295162","0.013146488502182"
"""California State University, Fullerton""","1","5","Selective public","Public","CA","0.6165321143582041","103739.6362152485","0.1211624786325787","0.3478840749349636","0.0085602049694633","52188.20571161542","0.4032250826236902","0.0115332366003785"
"""California State University, Long Beach""","1","5","Selective public","Public","CA","0.640233922130972","116773.1328461471","0.1160601261028355","0.363470376156236","0.0118457603894591","53931.90846207149","0.4143546404836057","0.0119364929218744"
"""California State University, Los Angeles""","1","5","Selective public","Public","CA","0.6242225450221749","52114.62349003956","0.3311692354187684","0.0980595105969109","0.0015598091022968","44225.55413230255","0.3268050199852896","0.0022683070221464"
"""California State University, Monterey Bay""","1","5","Selective public","Public","CA","0.5885482647202232","123045.0469718492","0.1049792596252753","0.3977001712763952","0.013763507020906","44659.59198250259","0.3106781112054169","0.0084030054983908"
